id,address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude
1,"160 millennium blvd","Moncton","Atlantic Restaurant Repair","Frederic Paquet","3","5063828499",,"Wholesale Trade","5063841883","NB","911000","Wholesale Trade - Durable Goods","5087","Service establishment equipment","Owner",,,,,,,,,,,,,,,,"E1E2G8","-64.804433","46.089819"
2,"48 ammon rd","Moncton","Ammon Water Sports",,"1 to 4",,,"Retail Trade","5068523822","NB","$1 to 2.5 million","Automotive Dealers and Gasoline Service Stations","5551","Boat dealers",,,,,,,,,,,,,,,,,"E1G2K4","-64.865313","46.155788"
3,"132 whittaker rd","Rusagonis","Weigh-Tronix Canada","Steve Brinton","1 to 4",,"M","Wholesale Trade","5064544010","NB","$500,000 to $1 million","Wholesale Trade - Durable Goods","5046","Commercial equipment, nec","Manager",,,,,,,,,,,,,,,,"E3B7Y8","-66.646065","45.798046"
4,"860 mountain rd","Moncton","Stoddard, P C Md","P Stoddard","1 to 4",,"M","Services","5068535160","NB","$1 to 2.5 million","Health Services","8011","Offices and clinics of medical doctors",,,,,,,,,,,,,,,,,"E1C2N7","-64.810425","46.100638"
5,"229 boul j d gauthier #10","Shippagan","P'tit Coin De Photos","Daniele Mallet","1 to 4",,"F","Services","5063364313","NB","Less than $500,000","Business Services","7384","Photofinish laboratories","Owner",,,,,,,,,,,,,,,,"E8S1N2","-64.715602","47.744151"
6,"877 boul everard h daigle","Grand-sault/grand fa","Enterprise Rent-A-Car","Alain Albert","1 to 4",,"M","Services","5064755488","NB","Less than $500,000","Automotive Repair, Services and Parking","7514","Passenger car rental","Manager",,,,,,,,,,,,,,,,"E3Z3C7","-67.758480","47.040811"
7,"1-1119 king george hwy","Miramichi","Variety Video Movie Club","Paula Duguay","3",,,"Services","5066227200","NB","500000","Motion Pictures","7841","Video tape rental","Manager",,,,,,,,,,,,,,,,"E1V5J7","-65.546914","47.016314"
8,"9360 route 11","Losier settlement","Emmanuel Auto Electric","Serge Brideau","1 to 4",,"M","Services","5063954723","NB","Less than $500,000","Automotive Repair, Services and Parking","7538","General automotive repair shops","Owner",,,,,,,,,,,,,,,,"E1X3C3","-64.972198","47.441018"
9,"2158 lakeview rd","Cambridge-narrows","Cambridge-Narrows School","Bev Loker-French","20 to 49","5064883505","F","Services","5064883500","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E4C1N8","-65.954904","45.831609"
10,"Po box 248","Saint-louis-de-kent","Theodore Johnson Power Saw","Theodaore Johnson","1 to 4","5068763909","M","Retail Trade","5068763909","NB","Less than $500,000","Building Matrials, Hrdwr, Garden Supply & Mobile","5261","Retail nurseries and garden stores","Owner",,,,,,,,,,,,,,,,,\N,\N
11,"720 main st #201","Moncton","Trahan, Jean E","Jean Trahan","1 to 4",,"M","Services","5068573599","NB","Less than $500,000","Legal Services","8111","Legal services",,,,,,,,,,,,,,,,,"E1C1E4","-64.775636","46.088929"
12,"35 toombs st","Moncton","Bellefeuille Production Ltee","Jean-Claude Belleseuelle","5","5068570352",,"Services","5068571090","NB","2066000","Motion Pictures","7812","Motion picture and video production","Executive Directors",,,,,,,,,,,,,,,,"E1A3A4","-64.764385","46.112426"
13,"1384 bellefeuille st","Dunlop","Dymatek Construction Dino","Dino Boudreau",,,,"Construction","5065441387","NB","1811000","Building Cnstrctn - General Contractors & Operativ","1521","Single-family housing construction","Owner",,,,,,,,,,,,,,,,"E8K2L4","-65.739772","47.690544"
14,"967 woodstock rd","Fredericton","Town & Country Motel","Francis Delmas","1 to 4","5064546264","M","Services","5064544223","NB","Less than $500,000","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Owner",,,,,,,,,,,,,,,,"E3B7R7","-66.689731","45.964757"
15,"555 ch gauvin","Dieppe","Lou Mac Nairn School","Gregg Ingersoll","249","5068563436",,"Services","5068563411","NB","24999000","Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E1A1M7","-64.729156","46.097993"
16,"55 rue principale","Riviere-verte","Foyer De L'age D'or","Sylvie Bellfleur","5 to 9","5062638851","F","Services","5062638539","NB","Less than $500,000","Health Services","8059","Nursing and personal care, nec","Executive Director",,,,,,,,,,,,,,,,"E7C2T7","-68.153086","47.327066"
17,"Po box 6756 rpo brunswick","Saint john","Kitchen Fire Protection Ltd.","Carl Olsen","3",,,"Services","5066935453","NB","500000","Business Services","7389","Business services, nec","President",,,,,,,,,,,,,,,,"E2L4S2","-66.054027","45.278724"
18,"325 lavoie st","Dieppe","Le Blanc Bertin Consultants","Bertin Le Blanc","1 to 4","5068550133","M","Services","5063884195","NB","Less than $500,000","Engineering, Accounting, Research, Management & R","8742","Management consulting services","Owner",,,,,,,,,,,,,,,,"E1A6R8","-64.728038","46.082364"
19,"111 mealey rd","Pennfield","Cards Aquaculture Products Ltd","Rod Card","50 to 99","5064562229","M","Agriculture, Forestry, And Fishing","5064563382","NB","$1 to 2.5 million","Agricultural Production - Livestock and Animal Spe","273","Animal aquaculture","Owner",,,,,,,,,,,,,,,,"E5H1T3","-66.759523","45.119589"
20,"3538 route 108","Quarryville","Riverside Hair Styling","Lori Jardine",,,,"Services","5066220791","NB",,"Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E9E2J7","-65.782196","46.832537"
21,"1135 hanwell rd","Fredericton","O Leary Pontiac-Buick-Gmc Ltd","Gerald O Leary","50 to 99","5064595755","M","Retail Trade","5064537000","NB","$20 to 50 million","Automotive Dealers and Gasoline Service Stations","5511","New and used car dealers","President",,,,,,,,,,,,,,,,"E3C1A5","-66.690378","45.949422"
22,"Moncton coliseum","Moncton","Tim Horton Donuts",,"10 to 19",,,"Retail Trade","5068627668","NB","$500,000 to $1 million","Eating and Drinking Places","5812","Eating places",,,,,,,,,,,,,,,,,,\N,\N
