99406,"626 sheppard ave w #a","North york","Pet Valu Discount Pet Foods","Joseph Farquhar","1 to 4",,"M","Retail Trade","4163988060","ON","Less than $500,000","Miscellaneous Retail","5999","Miscellaneous retail stores, nec","Owner",,,,,,,,,,,,,,,,"M3H2S1","-79.440188","43.755328"
99407,"676 sheppard ave w","North york","Elegante Hair Stylist","Mario Ferraro","1 to 4",,"M","Services","4166380811","ON","Less than $500,000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"M3H2S5","-79.430089","43.757795"
99408,"77 bradwick dr","Concord","Tovel Manufacturing Ltd","Frank Nastro","20 to 49","9057387934","M","Manufacturing","9057385511","ON","$10 to 20 million","Industrial and Commercial Machinery and Computer E","3537","Industrial trucks and tractors","Manager",,,,,,,,,,,,,,,,"L4K1K5","-79.553734","43.799442"
99409,"444 lakeview dr","North cobalt","Gramma's Chipper","Pat Leonard","1 to 4",,"F","Retail Trade","7056723757","ON","Less than $500,000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"P0J1R0","-79.641591","47.426294"
99410,"4300 steeles ave e","Markham","Tsuen Tai Hong","Jie Wen","1 to 4",,"F","Retail Trade","9059460638","ON","Less than $500,000","Miscellaneous Retail","5999","Miscellaneous retail stores, nec","Owner",,,,,,,,,,,,,,,,"L3R0Y5","-79.330948","43.818335"
99411,"200-614 coronation blvd","Cambridge","Central Care Corp.","Sheri Annable",,,,"Services","5196221840","ON",,"Health Services","8051","Skilled nursing care facilities","Vice President",,,,,,,,,,,,,,,,"N1R3E8","-80.323168","43.375920"
99412,"71 dundas st., no. 5 hwy","Hamilton","Beverly Tire Service Ltd.",,,,,"Services",,"ON",,"Automotive Repair, Services and Parking","7534","Tire retreading and repair shops",,,,,,,,,,,,,,,,,"L9G1G7","-79.988198","43.223206"
99413,"450 matheson blvd e","Mississauga","Cleanbreeze Energy Savings Inc.",,"7",,,"Construction","9055074822","ON","1500000","Construction - Special Trade Contractors","1711","Plumbing, heating, air-conditioning",,,,,,,,,,,,,,,,,"L4Z1R5","-79.669375","43.619880"
99414,"Laughing water rd","Sioux narrows","Laughing Water Lodge","Barb Madden","1 to 4","8072265212","F","Services","8072265212","ON","Less than $500,000","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Owner",,,,,,,,,,,,,,,,"P0X1N0","-94.095833","49.410833"
99415,"2466 eglinton ave e","Scarborough","Kash King",,,,,"Finance, Insurance, And Real Estate","4162899977","ON",,"Depository Institutions","6099","Functions related to deposit banking",,,,,,,,,,,,,,,,,"M1K5J8","-79.261619","43.733950"
