address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
3939 Rochdale Blvd.,Regina,Walmart,,,,,,306-543-3237,SK,,,,,,,7:00am,11:00pm,7:00am,11:00pm,12:00am,1:00am,7:00am,11:00pm,7:00am,11:00pm,3:00pm,11:00pm,7:00am,11:00pm,S4X 4P7,-104.637,50.4966,,,,,,,,,,2013-09-16 18:04:13 +0530,2013-09-16 18:04:13 +0530
274 Millennium Parkway,Belleville,Walmart,,,,,,613-966-9466,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,K8N 4Z5,-77.3943,44.1948,,,,,,,,,,2013-09-16 18:04:15 +0530,2013-09-16 18:04:15 +0530
"6797,boul. Newman",LaSalle,Walmart,,,,,,514-368-2248,QC,,,,,,,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,5:00pm,8:00am,5:00pm,H8N 3E4,-73.6081,45.4492,,,,,,,,,,2013-09-16 18:04:12 +0530,2013-09-16 18:04:12 +0530
499 Norwich Avenue,Woodstock,Walmart,,,,,,519-539-5120,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,N4S 9A2,-80.7378,43.1156,,,,,,,,,,2013-09-16 18:04:15 +0530,2013-09-16 18:04:15 +0530
80 Buchanan Drive,Charlottetown,Walmart,,,,,,902-628-4600,PE,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,12:00pm,5:00pm,C1E 2E5,-63.1527,46.2624,,,,,,,,,,2013-09-16 18:04:18 +0530,2013-09-16 18:04:18 +0530
17940 Yonge Street,Newmarket,Walmart,,,,,,905-853-8811,ON,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L3Y 8S4,-79.4828,44.0646,,,,,,,,,,2013-09-16 18:04:13 +0530,2013-09-16 18:04:13 +0530
1108 Pembroke Street East,Pembroke,Walmart,,,,,,613-735-4997,ON,,,,,,,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,K8A 7R4,-77.079,45.8133,,,,,,,,,,2013-09-16 18:04:19 +0530,2013-09-16 18:04:19 +0530
140 Wade Road,Truro,Walmart,,,,,,902-893-5582,NS,,,,,,,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,10:00am,8:00pm,B2N 7H3,-63.3048,45.354,,,,,,,,,,2013-09-16 18:04:19 +0530,2013-09-16 18:04:19 +0530
1812 Vedder Way,Abbotsford,Walmart,,,,,,604-854-3575,BC,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,V2S 8K1,-122.271,49.0343,,,,,,,,,,2013-09-16 18:04:10 +0530,2013-09-16 18:04:10 +0530
90 Aberdeen Avenue,St. John's,Walmart,,,,,,709-738-4350,NL,,,,,,,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,A1A 5N6,-52.7182,47.6195,,,,,,,,,,2013-09-16 18:04:20 +0530,2013-09-16 18:04:20 +0530
