address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
"1 Bass Pro Mills Dr., Unit 327",Vaughan,Best Buy Mobile,,,,,, (905) 761-8476,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,7:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,7:00 PM,,-79.533257,43.0286507,,,,,,,,,,,
"1800 Sheppard Ave. E, Unit 1040",North York,Best Buy Mobile,,,,,, (416) 640-1443,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:30 AM,8:00 PM,11:00 AM,6:00 PM,,-79.3445,43.0109591,,,,,,,,,,,
"100 City Centre Dr., Unit 1-839",Mississauga,Best Buy Mobile,,,,,, (905) 361-1016,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,11:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:30 AM,9:00 PM,11:00 AM,7:00 PM,,-79.641458,42.9803741,,,,,,,,,,,
"900 Dufferin St., Unit 0455",Toronto,Best Buy Mobile,,,,,, (416) 645-1646,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:30 AM,9:00 PM,11:00 AM,6:00 PM,,-79.434209,42.9948007,,,,,,,,,,,
"6455 Macleod Trail SW, Unit 0155",Calgary,Best Buy Mobile,,,,,, (403) 441-0634,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,11:00 AM,7:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,11:00 AM,7:00 PM,,-114.07387,42.9923846,,,,,,,,,,,
"2525 36th St. NE, Unit 120",Calgary,Best Buy Mobile,,,,,, (403) 261-0759,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,11:00 AM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,8:00 PM,11:00 AM,5:00 PM,,-113.984845,42.9618171,,,,,,,,,,,
"777 Guelph Line, Unit H7A",Burlington,Best Buy Mobile,,,,,, (289) 288-1321,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:30 AM,6:00 PM,12:00 PM,5:00 PM,,-79.794885,42.9350432,,,,,,,,,,,
"25 Peel Centre Dr., Unit 506",Brampton,Best Buy Mobile,,,,,, (905) 595-0636,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,11:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:30 AM,9:00 PM,11:00 AM,7:00 PM,,-79.724199,43.003927,,,,,,,,,,,
"221 Glendale Ave., Unit 146",St. Catharines,Best Buy Mobile,,,,,, (905) 346-0274,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:00 AM,6:00 PM,11:00 AM,6:00 PM,,-79.224478,42.9755367,,,,,,,,,,,
515 Marlborough Way NE,Calgary,Best Buy Mobile,,,,,, (403) 536-1332,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 PM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,7:00 PM,12:00 PM,5:00 PM,,-113.976958,42.9622253,,,,,,,,,,,
"390 North Front St., Unit P6",Belleville,Best Buy Mobile,,,,,, (613) 968-5875,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,6:00 PM,11:00 AM,5:00 PM,,-77.396441,42.927304,,,,,,,,,,,
"3100 Howard Ave., Unit Q14A",Windsor,Best Buy Mobile,,,,,, (519) 946-0712,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,6:00 PM,11:00 AM,5:00 PM,,-83.004464,42.986475,,,,,,,,,,,
