address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
1099 Marcus Dr.,Sudbury,Best Buy,,,,,, (705) 664-0070,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-80.938568,43.7639604,,,,,,,,,,,
350 Stewart Green SW,Calgary,Best Buy,,,,,, (403) 242-2085,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-114.170538,43.7367853,,,,,,,,,,,
"3734 Mayor Magrath Dr. S, Unit 1C",Lethbridge,Best Buy,,,,,, (403) 388-5060,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-112.793094,43.7281699,,,,,,,,,,,
"2700 Boul. Laurier, Unit 2290",Quebec,Best Buy,,,,,, (418) 266-1819,QC,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:00 AM,5:00 PM,10:00 AM,5:00 PM,,-71.284052,43.7199411,,,,,,,,,,,
5401 Boul. des Galeries,Quebec,Best Buy,,,,,, (418) 266-1367,QC,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:00 AM,5:00 PM,10:00 AM,5:00 PM,,-71.295493,43.7570003,,,,,,,,,,,
3 Stavanger Dr.,St. Johns,Best Buy,,,,,, (709) 754-1292,NL,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,11:00 AM,5:30 PM,,-52.721083,43.7244922,,,,,,,,,,,
11 Washmill Lake Dr.,Halifax,Best Buy,,,,,, (902) 442-3300,NS,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,9:30 AM,9:00 PM,11:00 AM,5:30 PM,,-63.672928,43.7480501,,,,,,,,,,,
"2271 Harvey Ave., Unit 1403",Kelowna,Best Buy,,,,,, (250) 448-0890,BC,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,9:00 AM,9:00 PM,10:00 AM,6:00 PM,,-119.438412,44.7345479,,,,,,,,,,,
20 Kingston Rd. W,Ajax,Best Buy,,,,,, (905) 619-6977,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-79.034367,42.9928934,,,,,,,,,,,
"6075 Mavis Rd., Unit 1",Mississauga,Best Buy,,,,,, (905) 361-8251,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-79.697602,43.4836503,,,,,,,,,,,
695 Wilson Ave.,Toronto,Best Buy,,,,,, (416) 635-6574,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-79.454983,43.4847589,,,,,,,,,,,
1701 Merivale Rd.,Nepean,Best Buy,,,,,, (613) 212-0146,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-75.72746,43.4802433,,,,,,,,,,,
"20202 66th Ave., Unit F3",Langley,Best Buy,,,,,, (604) 530-7787,BC,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-122.662794,43.4397093,,,,,,,,,,,
"2500 Winston Park Dr., Unit A",Oakville,Best Buy,,,,,, (905) 829-2034,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-79.684545,43.4133574,,,,,,,,,,,
147 Laird Dr.,East York,Best Buy,,,,,, (647) 777-3196,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-79.362864,43.4378482,,,,,,,,,,,
"7850 Weston Rd. , Bldg. E Unit 1",Woodbridge,Best Buy,,,,,, (905) 264-3191,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-79.548143,43.9175453,,,,,,,,,,,
17539 Stony Plain Rd. NW,Edmonton,Best Buy,,,,,, (780) 443-6700,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-113.623523,44.6056687,,,,,,,,,,,
9931 19 Ave. NW,Edmonton,Best Buy,,,,,, (780) 431-6700,AB,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,10:00 AM,6:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,7:00 PM,,-113.488229,44.6261105,,,,,,,,,,,
215 Fairway Rd. S,Kitchener,Best Buy,,,,,, (519) 783-0333,ON,,,,Electronics,,http://www.bestbuy.ca/en-CA/home.aspx,12:00 AM,12:00 AM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,,-80.438826,45.4661985,,,,,,,,,,,
