address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
40 Peel Centre Dr,Brampton,Hibberd Graeme R Dr,,,,,,905-458-4114,ON,,,,,,,,,8:00am,5:00pm,,,8:00am,5:00pm,,,,,,,,-79.7256,43.7158,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
499 Main S ,Brampton,Hirst Yvonne Dr,,,,,,905-453-7577,ON,,,,,,,,,,,,,,,,,,,,,,-79.7351,43.6672,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:25:30 UTC
11-44 Pauline Cres,Brampton,Jetson Network Corp,,,,,,416-544-8848,ON,,,,,,,9:00am,5:00pm,9:00am,5:00pm,9:00am,5:00pm,9:00am,5:00pm,9:00am,5:00pm,,,,,,-79.8247,43.6989,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
"27 Ruth Ave., Unit 6A",Brampton,Kenedy Ruth Dental Centre,,,,,,905-846-1595,ON,,,,,,,10:00am,7:00pm,Closed,,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,9:30am,5:00pm,,,,-79.7862,43.7229,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
Steeles & McLaughlin Rd,Brampton,Kidz Can... With Care,,,,,,905-487-2840,ON,,,,,,,8:00am,6:00pm,8:00am,6:00pm,8:00am,6:00pm,8:00am,6:00pm,8:00am,6:00pm,,,,,,-79.7437,43.6564,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
"12295 Hwy 50, Unit # 4",Bolton,Kinder Korner Pre School & Respite Centre,,,,,,905-857-0818,ON,,,,,,,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,7:00am,6:00pm,,,,,,-79.7116,43.8604,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
1897 Nursery Road,Barrie,Loose Moose Magic Village,,,,,,416-443-7900,ON,,,,,,,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,,-79.7599,44.446,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
"10 Lormel Gate, Unit 1",Brampton,Lormel Gate Dentistry,,,,,,905-840-8372,ON,,,,,,,10:00am,8:00pm,10:00am,8:00pm,2:00pm,8:00pm,10:00am,8:00pm,2:00pm,8:00pm,,,,,,-79.8046,43.7011,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
1020 Burnhamthorpe Road West,Mississauga,Lyons Auto Body Ltd.,,,,,,905-277-1456,ON,,,,,,,8:00am,6:00pm,8:00am,6:00pm,8:00am,6:00pm,8:00am,6:00pm,8:00am,6:00pm,8:00am,1:00pm,,,,-79.6593,43.5726,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
37 Queen Street West,Brampton,M. Michael's Photography,,,,,,905-457-3660,ON,,,,,,,Closed,,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,12:00pm,5:00pm,Closed,,,-79.7601,43.6858,,,,,,,,,,2013-09-13 09:25:30 UTC,2013-09-13 09:27:49 UTC
395 North Park Drive,Brampton,Maranatha Christian Academy,,,,,,905-450-9194,ON,,,,,,,9:00am,4:00pm,9:00am,4:00pm,9:00am,4:00pm,9:00am,4:00pm,9:00am,4:00pm,,,,,,-79.7542,43.7247,,,,,,,,,,2013-09-13 09:25:31 UTC,2013-09-13 09:27:49 UTC
