address,city,company_name,phone,state,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,created_at,updated_at
3550 Brighton Avenue,Burnaby,Costco,(604) 444-9600,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V5A 4W3,-122.918,49.2515,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
9151 Bridgeport Road,Richmond,Costco,(604) 270-3647,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V6X 3L9,-123.122,49.1926,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
7423 King George Highway,Surrey,Costco,(604) 596-7435,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V3W 5A8,-122.847,49.1388,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
2853 32nd Street NE,Calgary,Costco,(403) 299-1610,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T1Y 6T7,-113.99,51.0787,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
1315 St. James Street,Winnipeg,Costco,(204) 788-4415,MB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,R3H 0K9,-97.1992,49.9041,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
2479 Highway 97 N,Kelowna,Costco,(250) 870-5200,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V1X 4J2,-119.423,49.8878,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
#1 York Tech Drive,Markham,Costco,(905) 477-5718,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L6G 1A6,-79.3547,43.8459,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
115 Marquis Drive,Saskatoon,Costco,(306) 933-4262,SK,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,S7R 1C7,-106.675,52.1946,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
1499 Regent Avenue West,Winnipeg,Costco,(204) 654-4214,MB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,R2C 4M4,-97.0568,49.8965,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
12450 149th St NW,Edmonton,Costco,(780) 455-7575,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T5V 1G9,-113.578,53.5789,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
6700 Island Highway North,Nanaimo,Costco,(250) 390-3231,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V9V 1K8,-124.047,49.2374,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
13650 50th Street,Edmonton,Costco,(780) 478-0066,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T5A 4Y3,-113.415,53.5958,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
2555 Range Road,Prince George,Costco,(250) 561-0784,BC,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,V2N 4G8,-122.771,53.883,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
150 Kingston Road East,Ajax,Costco,(905) 619-6677,ON,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,L1Z 1E5,-79.0193,43.8646,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
3200 Mayor Magrath Drive South,Lethbridge,Costco,(403) 320-8917,AB,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,10:00am ,8:30pm,9:30am ,6:00pm,10:00am ,5:00pm,T1K 6Y6,-112.795,49.6618,,2013-09-16 05:50:36 UTC,2013-09-16 05:50:36 UTC
