address,city,company_name,phone,state,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,created_at,updated_at
505 Main St,Airdrie,Safeway,(403) 948-4838,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T0M 0B0,-114.013,51.2954,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
318 Marten St,Banff,Safeway,(403) 762-5378,AB,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,Closed,Closed,T0L 0C0,-115.572,51.1795,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
550 Cassils Rd W,Brooks,Safeway,(403) 362-6851,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T1R 0V9,-111.902,50.5721,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
3550  32 Ave Ne,Calgary,Safeway,(403) 291-2035,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T1Y 6J2,-113.989,51.0841,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
300-1440 52 St Ne,Calgary,Safeway,(403) 235-1437,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2A 4T8,-113.956,51.055,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
399 36 St Ne,Calgary,Safeway,(403) 248-0848,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2A 7R4,-113.982,51.0549,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
7740 18 St Se,Calgary,Safeway,(403) 236-1210,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2C 2N5,-114.016,50.9833,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
9737 Macleod Trail S,Calgary,Safeway,(403) 252-8199,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2J 0P6,-114.072,50.9673,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
11011 Bonaventure Dr Se,Calgary,Safeway,(403) 278-5225,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2J 6S1,-114.063,50.9539,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
5607 4 St Nw,Calgary,Safeway,(403) 730-4955,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2K 1B3,-114.071,51.1013,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
1846 - 1632 14 Ave Nw,Calgary,Safeway,(403) 210-0002,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2N 1M7,-114.103,51.0652,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
410 10 St Nw,Calgary,Safeway,(403) 270-3054,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2N 1V9,-114.086,51.0561,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
1818 Centre St Ne,Calgary,Safeway,(403) 276-3328,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2P 2S6,-114.063,51.068,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
813 11 Ave  Sw,Calgary,Safeway,(403) 264-1375,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2R 0E6,-114.079,51.0428,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
524 Elbow Dr Sw,Calgary,Safeway,(403) 228-6141,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2S 2H6,-114.072,51.0297,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
2425 34 Ave Sw,Calgary,Safeway,(403) 240-1098,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2T 6E3,-114.115,51.0231,,2013-09-16 06:34:01 UTC,2013-09-16 06:34:01 UTC
1600 90 Ave Sw,Calgary,Safeway,(403) 255-2755,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2V 5A8,-114.096,50.9723,,2013-09-16 06:34:02 UTC,2013-09-16 06:34:02 UTC
2525 Woodview Dr Sw,Calgary,Safeway,(403) 238-1400,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2W 4N7,-114.119,50.9411,,2013-09-16 06:34:02 UTC,2013-09-16 06:34:02 UTC
70 Shawville Blvd Sw,Calgary,Safeway,(403) 256-1401,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2Y 2Z3,-114.067,50.9068,,2013-09-16 06:34:02 UTC,2013-09-16 06:34:02 UTC
4915 130 Ave. S.East,Calgary,Safeway,(403) 257-8510,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T2Z 3V8,-113.964,50.9318,,2013-09-16 06:34:02 UTC,2013-09-16 06:34:02 UTC
3625 Shaganappi Trail Nw,Calgary,Safeway,(403) 286-5510,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T3A 0E2,-114.153,51.0856,,2013-09-16 06:34:02 UTC,2013-09-16 06:34:02 UTC
100-5005 Dalhousie Dr Nw,Calgary,Safeway,(403) 202-0425,AB,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,9:00pm,9:00am,6:00pm,10:00am,6:00pm,T3A 5R8,-114.143,51.1027,,2013-09-16 06:34:02 UTC,2013-09-16 06:34:02 UTC
