address,city,company_name,phone,state,zip_code,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,longitude,latitude,created_at,updated_at
1450 Main St,Dauphin,Safeway,(204) 638-4745,MB,R7N 1M8,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,9:00pm,9:00am,6:00pm,-100.063,51.137,2013-09-23 05:13:59 UTC,2013-09-23 05:13:59 UTC
505 Main St,Airdrie,Safeway,(403) 948-4838,AB,T0M 0B0,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.013,51.2954,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
318 Marten St,Banff,Safeway,(403) 762-5378,AB,T0L 0C0,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-115.572,51.1795,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
550 Cassils Rd W,Brooks,Safeway,(403) 362-6851,AB,T1R 0V9,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-111.902,50.5721,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
3550  32 Ave Ne,Calgary,Safeway,(403) 291-2035,AB,T1Y 6J2,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.989,51.0841,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
300-1440 52 St Ne,Calgary,Safeway,(403) 235-1437,AB,T2A 4T8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.956,51.055,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
399 36 St Ne,Calgary,Safeway,(403) 248-0848,AB,T2A 7R4,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-113.982,51.0549,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
7740 18 St Se,Calgary,Safeway,(403) 236-1210,AB,T2C 2N5,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.016,50.9833,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
755 Lake Bonavista Dr Se,Calgary,Safeway,(403) 271-1616,AB,T2J 0N3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.046,50.9427,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
9737 Macleod Trail S,Calgary,Safeway,(403) 252-8199,AB,T2J 0P6,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.072,50.9673,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
11011 Bonaventure Dr Se,Calgary,Safeway,(403) 278-5225,AB,T2J 6S1,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.063,50.9539,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
5611 - 4 St Nw,Calgary,Safeway,(403) 275-2192,AB,T2K 1B2,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,-114.071,51.1013,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
5607 4 St Nw,Calgary,Safeway,(403) 730-4955,AB,T2K 1B3,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.071,51.1013,2013-09-23 05:16:23 UTC,2013-09-23 05:16:23 UTC
3636 Brentwood Rd Nw,Calgary,Safeway,(403) 289-1424,AB,T2L 1K8,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.127,51.085,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
1846 - 1632 14 Ave Nw,Calgary,Safeway,(403) 210-0002,AB,T2N 1M7,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.103,51.0652,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
410 10 St Nw,Calgary,Safeway,(403) 270-3054,AB,T2N 1V9,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.086,51.0561,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
1818 Centre St Ne,Calgary,Safeway,(403) 276-3328,AB,T2P 2S6,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,8:00am,11:00pm,-114.063,51.068,2013-09-23 05:16:24 UTC,2013-09-23 05:16:24 UTC
