address,city,company_name,phone,state,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,created_at,updated_at
727 anderton road ,Comox,McDonalds, (250) 890-2001,BC, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00,V9M 3Y6,-124.933,49.6928,true,2013-09-12 11:42:04 UTC,2013-09-12 11:42:04 UTC
1 peace bridge plaza ,Fort erie,McDonalds, (905) 871-6262,ON, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00,L2A 5N1,-78.9166,42.9296,true,2013-09-12 11:42:04 UTC,2013-09-12 11:42:04 UTC
13 - 7519 prairie valley road ,Summerland,McDonalds, (250) 494-1350,BC, 06:00,10:00, 06:00,10:00, 06:00,10:00, 06:00,10:00, 06:00,11:00, 06:00,11:00, 06:00,10:00,V0H 1Z0,-119.839,49.5717,true,2013-09-12 11:42:05 UTC,2013-09-12 11:42:05 UTC
100 - 310 shawville blvd. se ,Calgary,McDonalds, (403) 254-6989,AB, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00,T2Y 3S4,-114.061,50.9002,true,2013-09-12 11:42:05 UTC,2013-09-12 11:42:05 UTC
711 centre st ,Espanola,McDonalds, (705) 862-7770,ON, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:00, 05:00,11:59, 05:00,11:59, 05:00,11:00,P5E 1J2,-81.7631,46.2502,true,2013-09-12 11:42:05 UTC,2013-09-12 11:42:05 UTC
#2 hospital street ,Fort mcmurray,McDonalds, (780) 715-2050,AB, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00,T9H 5E4,-111.359,56.7221,true,2013-09-12 11:42:06 UTC,2013-09-12 11:42:06 UTC
"155, montÉ masson ",Mascouche,McDonalds, (450) 474-7047,QC, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00,J7K 3B4,-73.6144,45.7248,true,2013-09-12 11:42:06 UTC,2013-09-12 11:42:06 UTC
1530 albion road unit f-1,Toronto,McDonalds, (416) 746-0175,ON, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,06:00, 11:00,05:00,M9V 1B4,-79.5849,43.7421,true,2013-09-12 11:42:06 UTC,2013-09-12 11:42:06 UTC
100 wellington st. west ,Toronto,McDonalds, (416) 214-0884,ON, 06:00,08:00, 06:00,08:00, 06:00,08:00, 06:00,08:00, 06:00,08:00,Closed,Closed,Closed,Closed,M5J 2N7,-79.3816,43.6466,true,2013-09-12 11:42:07 UTC,2013-09-12 11:42:07 UTC
80 buchanan drive ,Charlottetown,McDonalds, (902) 566-6706,PE, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 12:00,05:00,C1E 2E5,-63.1533,46.2619,true,2013-09-12 11:42:07 UTC,2013-09-12 11:42:07 UTC
551 thatcher drive east ,Moose jaw,McDonalds, (306) 692-1304,SK, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00,S6J 1L8,-105.571,50.4133,true,2013-09-12 11:42:07 UTC,2013-09-12 11:42:07 UTC
450 bayfield street ,Barrie,McDonalds, (705) 721-5627,ON, 08:00,09:00, 08:00,09:00, 08:00,09:00, 08:00,09:00, 07:00,10:00, 08:00,10:00, 09:00,07:00,L4M 5A2,-79.7154,44.4152,true,2013-09-12 11:42:08 UTC,2013-09-12 11:42:08 UTC
240 hamilton rd. ,Yorkton,McDonalds, (306) 783-4417,SK, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00,S3N 2V7,-102.474,51.2278,true,2013-09-12 11:42:08 UTC,2013-09-12 11:42:08 UTC
2277 riverside drive ,Ottawa,McDonalds, (613) 260-9799,ON, 07:00,09:00, 07:00,09:00, 07:00,09:00, 07:00,09:00, 07:00,09:00, 08:00,06:00, 11:00,05:00,K1H 7X6,-75.6801,45.3864,true,2013-09-12 11:42:08 UTC,2013-09-12 11:42:08 UTC
420 vansickle rd ,St catharines,McDonalds, (905) 687-8820,ON, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00,L2R 6P9,-79.3071,43.1701,true,2013-09-12 11:42:09 UTC,2013-09-12 11:42:09 UTC
4210 - 70th avenue ,Lloydminster,McDonalds, (780) 871-2868,AB, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,10:00, 08:00,09:00,T9V 2X3,-110.048,53.2756,true,2013-09-12 11:42:09 UTC,2013-09-12 11:42:09 UTC
"Rr 1, unit 107 6661 sooke road",Sooke,McDonalds, (250) 642-1200,BC, 05:00,11:59, 05:00,11:59, 05:00,11:59, 05:00,11:59, 05:00,11:59, 05:00,11:59, 05:00,11:59,V0S 1N0,-124.095,48.5089,true,2013-09-12 11:42:09 UTC,2013-09-12 11:42:09 UTC
2001 - 16th avenue ,Campbell river,McDonalds, (250) 830-1466,BC, 06:00,10:00, 06:00,10:00, 06:00,10:00, 06:00,10:00, 06:00,10:00, 06:00,10:00, 06:00,10:00,V9W 8E8,-125.274,50.0306,true,2013-09-12 11:42:10 UTC,2013-09-12 11:42:10 UTC
1665 kenaston blvd ,Winnipeg,McDonalds, (204) 949-5118,MB, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 07:00,11:00, 09:00,06:00,R3P 2M4,-97.2016,49.8241,true,2013-09-12 11:42:10 UTC,2013-09-12 11:42:10 UTC
