address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,mon_closed,tue_closed,wed_closed,thu_closed,fri_closed,sat_closed,sun_closed,status,created_at,updated_at
Northland mall,London,Toys R Us,,,,,,(519) 963-0955,ON,,,,,,,09:00am,09:00pm,09:00am,09:00pm,09:00am,09:00pm,09:00am,09:00pm,09:00am,09:00pm,09:00am,06:00pm,11:00am,05:00pm,M5Y 1A8,-81.215,43.0192,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
Brentwood town centre,Burnaby,Toys R Us,,,,,,(604) 629-1576,BC,,,,,,,10:00am,06:00pm,10:00am,06:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,09:30am,06:00pm,11:00am,06:00pm,V5C 3Z6,-123.001,49.2675,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
5100 erin mills parkway,Mississauga,Toys R Us,,,,,,(905) 412-0168,ON,,,,,,,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,09:30am,06:00pm,11:00am,06:00pm,L5M 4Z5,-79.7091,43.5605,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
1555 talbot road,Lasalle,Toys R Us,,,,,,(519) 946-0746,ON,,,,,,,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,09:00am,06:00pm,11:00am,05:00pm,N9H 2N2,-83.0146,42.2423,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
Place vertu,Saint laurent,Toys R Us,,,,,,(514) 904-2225,QC,,,,,,,10:00am,06:00pm,10:00am,06:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,09:00am,05:00pm,10:00am,05:00pm,H4R 1Y8,-73.7044,45.4973,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
Northgate shopping centre,North bay,Toys R Us,,,,,,(705) 494-9826,ON,,,,,,,09:30am,09:00pm,09:30am,09:00pm,09:30am,09:00pm,09:30am,09:00pm,09:30am,09:00pm,09:30am,06:00pm,11:00am,05:00pm,P1B 2H3,-79.4423,46.3132,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
Tecumseh mall,Windsor,Toys R Us,,,,,,(519) 946-0709,ON,,,,,,,09:30am,09:00pm,09:30am,09:00pm,09:30am,09:00pm,09:30am,09:00pm,09:30am,09:00pm,09:30am,06:00pm,12:00am,05:00pm,N8T 1E9,-82.9348,42.3147,,,,,,,,,,2013-09-23 08:45:02 UTC,2013-09-23 08:45:02 UTC
Heritage place,Owen sound,Toys R Us,,,,,,(519) 376-2882,ON,,,,,,,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,06:00pm,11:00am,05:00pm,N4K 6N7,-80.9169,44.5761,,,,,,,,,,2013-09-23 08:45:03 UTC,2013-09-23 08:45:03 UTC
Saint-jerome,Saint-jerome,Toys R Us,,,,,,(450) 438-2971,QC,,,,,,,09:30am,06:00pm,09:30am,06:00pm,09:30am,06:00pm,09:30am,09:00pm,09:30am,09:00pm,09:00am,05:00pm,10:00am,05:00pm,J7Y 1S1,-74.0091,45.795,,,,,,,,,,2013-09-23 08:45:03 UTC,2013-09-23 08:45:03 UTC
Sunridge mall,Calgary,Toys R Us,,,,,,(403) 280-8297,AB,,,,,,,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,09:00pm,10:00am,08:00pm,11:00am,05:00pm,T1Y 5T4,-113.982,51.0737,,,,,,,,,,2013-09-23 08:45:03 UTC,2013-09-23 08:45:03 UTC
