address,city,company_name,phone,state,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude,gmaps,created_at,updated_at
1280 Steeles Ave. East,Milton,Walmart,905-864-6027,ON,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L9T 6R1,-79.8691,43.5437,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
2320 Highway 2,Bowmanville,Walmart,905-623-0110,ON,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,L1C 3K7,-78.7048,43.9118,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
16 Pinegrove Road,Bridgewater,Walmart,902-543-8680,NS,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,10:00am,8:00pm,B4V 7P7,-64.5368,44.3998,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
2525 St Clair Ave West,Toronto,Walmart,416-763-7325,ON,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,M6N 4Z5,-79.4849,43.6687,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
1400 Ottawa St.South Unit E.,Kitchener,Walmart,519-745-2297,ON,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,7:00am,11:00pm,N2E 4E2,-80.5119,43.4164,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
5217 Power Centre Blvd,Drayton Valley,Walmart,780-514-3207,AB,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,T7A 1S7,-115.0,53.224,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
5005 Dahl Drive,Whitecourt,Walmart,780-706-3323,AB,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,T7S 1P6,-115.671,54.1407,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
1601 Marcolin Drive,Trail,Walmart,250-364-2688,BC,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,8:00am,9:00pm,V1R 4Y1,-117.622,49.085,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
23550 Woodbine Ave,Keswick,Walmart,905-476-1729,ON,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,7:00am,10:00pm,L4P 3E9,-79.4449,44.2189,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
494 Rue Madawaska,Grand Falls,Walmart,506-473-6837,NB,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,8:00am,10:00pm,9:00am,6:00pm,E3Y 1A3,-67.754,47.0589,,2013-09-16 12:34:03 UTC,2013-09-16 12:34:03 UTC
